Name,Version,License,Summary,Home-Page
nvidia-cublas-cu12,12.8.4.1,NVIDIA Proprietary Software,CUBLAS native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cuda-cupti-cu12,12.8.90,NVIDIA Proprietary Software,CUDA profiling tools runtime libs.,https://developer.nvidia.com/cuda-zone
nvidia-cuda-nvrtc-cu12,12.8.93,NVIDIA Proprietary Software,NVRTC native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cuda-runtime-cu12,12.8.90,NVIDIA Proprietary Software,CUDA Runtime native Libraries,https://developer.nvidia.com/cuda-zone
nvidia-cudnn-cu12,9.10.2.21,LicenseRef-NVIDIA-Proprietary,cuDNN runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cufft-cu12,11.3.3.83,NVIDIA Proprietary Software,CUFFT native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cufile-cu12,1.13.1.3,NVIDIA Proprietary Software,cuFile GPUDirect libraries,https://developer.nvidia.com/cuda-zone
nvidia-curand-cu12,10.3.9.90,NVIDIA Proprietary Software,CURAND native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cusolver-cu12,11.7.3.90,NVIDIA Proprietary Software,CUDA solver native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cusparse-cu12,12.5.8.93,NVIDIA Proprietary Software,CUSPARSE native runtime libraries,https://developer.nvidia.com/cuda-zone
nvidia-cusparselt-cu12,0.7.1,NVIDIA Proprietary Software,NVIDIA cuSPARSELt,https://developer.nvidia.com/cusparselt
nvidia-nccl-cu12,2.27.5,BSD-3-Clause,NVIDIA Collective Communication Library (NCCL) Runtime,https://developer.nvidia.com/cuda-zone
nvidia-nvjitlink-cu12,12.8.93,NVIDIA Proprietary Software,Nvidia JIT LTO Library,https://developer.nvidia.com/cuda-zone
nvidia-nvshmem-cu12,3.3.20,BSD-3-Clause,NVSHMEM creates a global address space that provides efficient and scalable communication for NVIDIA GPU clusters.,https://developer.nvidia.com/cuda-zone
nvidia-nvtx-cu12,12.8.90,Apache-2.0,NVIDIA Tools Extension,https://developer.nvidia.com/cuda-zone
omegaconf,2.3.0,BSD,A flexible configuration library,https://github.com/omry/omegaconf
onnxruntime,1.23.2,MIT,ONNX Runtime is a runtime accelerator for Machine Learning models,https://onnxruntime.ai
opencv-python,4.11.0.86,Apache-2.0,Wrapper package for OpenCV python bindings.,https://github.com/opencv/opencv-python
openpyxl,3.1.5,MIT,A Python library to read/write Excel 2010 xlsx/xlsm files,https://openpyxl.readthedocs.io
packaging,25.0,BSD,Core utilities for Python packages,
pandas,2.3.3,MIT,"Powerful data structures for data analysis, time series, and statistics",
pdfminer.six,20250506,Unknown,PDF parser and analyzer,
pdfplumber,0.11.7,MIT,"Plumb a PDF for detailed information about each char, rectangle, and line.",https://github.com/jsvine/pdfplumber
pillow,11.3.0,Unknown,Python Imaging Library (Fork),
pip,25.2,Unknown,The PyPA recommended tool for installing Python packages.,
piper-tts,1.3.0,GPL-3.0-or-later,Fast and local neural text-to-speech engine,http://github.com/OHF-voice/piper1-gpl
playwright,1.55.0,Unknown,A high-level API to automate web browsers,
pluggy,1.6.0,MIT,plugin and hook calling mechanisms for python,
polyfactory,2.22.3,MIT,Mock data generation factories,
portalocker,3.2.0,Unknown,Wraps the portalocker recipe for easy usage,
prometheus-fastapi-instrumentator,7.1.0,ISC,Instrument your FastAPI app with Prometheus metrics,
prometheus_client,0.23.1,Unknown,Python client for the Prometheus monitoring system.,
propcache,0.4.1,Apache-2.0,Accelerated property cache,https://github.com/aio-libs/propcache
protobuf,6.33.0,BSD,,https://developers.google.com/protocol-buffers/
psutil,7.1.1,BSD-3-Clause,Cross-platform lib for process and system monitoring.,https://github.com/giampaolo/psutil
psycopg,3.2.11,Unknown,PostgreSQL database adapter for Python,https://psycopg.org/psycopg3/
psycopg-binary,3.2.11,Unknown,PostgreSQL database adapter for Python -- C optimisation distribution,https://psycopg.org/psycopg3/
pyasn1,0.6.1,BSD-2-Clause,Pure-Python implementation of ASN.1 types and DER/BER/CER codecs (X.208),https://github.com/pyasn1/pyasn1
pyclipper,1.3.0.post6,MIT,Cython wrapper for the C++ translation of the Angus Johnson's Clipper library (ver. 6.4.2),https://github.com/greginvm/pyclipper
pycparser,2.23,BSD-3-Clause,C parser in Python,https://github.com/eliben/pycparser
pydantic,2.12.3,Unknown,Data validation using Python type hints,
pydantic-settings,2.11.0,MIT,Settings management using Pydantic,
pydantic_core,2.41.4,Unknown,Core functionality for Pydantic validation and serialization,https://github.com/pydantic/pydantic-core
pyee,13.0.0,MIT,A rough port of Node.js's EventEmitter to Python with a few tricks of its own,
Pygments,2.19.2,BSD-2-Clause,Pygments is a syntax highlighting package written in Python.,
pylatexenc,2.10,MIT,Simple LaTeX parser providing latex-to-unicode and unicode-to-latex conversion,https://github.com/phfaist/pylatexenc
pypdfium2,4.30.0,Apache-2.0,Python bindings to PDFium,https://github.com/pypdfium2-team/pypdfium2
pytesseract,0.3.13,Apache-2.0,Python-tesseract is a python wrapper for Google's Tesseract-OCR,https://github.com/madmaze/pytesseract
pytest,8.4.2,MIT,pytest: simple powerful testing with Python,
pytest-asyncio,1.2.0,Unknown,Pytest support for asyncio,
pytest-cov,7.0.0,MIT,Pytest plugin for measuring coverage.,
python-dateutil,2.9.0.post0,Dual License,Extensions to the standard Python datetime module,https://github.com/dateutil/dateutil
python-docx,1.2.0,MIT,"Create, read, and update Microsoft Word .docx files.",
python-dotenv,1.1.1,BSD-3-Clause,Read key-value pairs from a .env file and set them as environment variables,https://github.com/theskumar/python-dotenv
python-jose,3.5.0,MIT,JOSE implementation in Python,http://github.com/mpdavis/python-jose
python-multipart,0.0.20,Apache-2.0,A streaming multipart parser for Python,
python-pptx,1.0.2,MIT,"Create, read, and update PowerPoint 2007+ (.pptx) files.",
pytz,2025.2,MIT,"World timezone definitions, modern and historical",http://pythonhosted.org/pytz
PyYAML,6.0.3,MIT,YAML parser and emitter for Python,https://pyyaml.org/
qdrant-client,1.15.1,Apache-2.0,Client library for the Qdrant vector search engine,
rapidocr,3.4.2,Apache-2.0,Awesome OCR Library,https://github.com/RapidAI/RapidOCR
referencing,0.37.0,Unknown,JSON Referencing + Python,
regex,2025.9.18,Unknown,"Alternative regular expression module, to replace re.",
requests,2.32.5,Apache-2.0,Python HTTP for Humans.,https://requests.readthedocs.io
rich,14.2.0,MIT,"Render rich text, tables, progress bars, syntax highlighting, markdown and more to the terminal",
rpds-py,0.27.1,Unknown,Python bindings to Rust's persistent data structures (rpds),
rsa,4.9.1,Apache-2.0,Pure-Python RSA implementation,
rtree,1.4.1,Unknown,R-Tree spatial index for Python GIS,
safetensors,0.6.2,Apache-2.0,,
scipy,1.16.2,MIT,Fundamental algorithms for scientific computing in Python,
semchunk,2.2.2,MIT,A fast and lightweight Python library for splitting text into semantically meaningful chunks.,
setuptools,80.9.0,Unknown,"Easily download, build, install, upgrade, and uninstall Python packages",
shapely,2.1.2,BSD,Manipulation and analysis of geometric objects,
shellingham,1.5.4,ISC,Tool to Detect Surrounding Shell,https://github.com/sarugaku/shellingham
six,1.17.0,MIT,Python 2 and 3 compatibility utilities,https://github.com/benjaminp/six
slowapi,0.1.9,MIT,A rate limiting extension for Starlette and Fastapi,https://github.com/laurents/slowapi
sniffio,1.3.1,MIT,Sniff out which async library your code is running under,
soupsieve,2.8,MIT,A modern CSS selector implementation for Beautiful Soup.,
SQLAlchemy,2.0.36,MIT,Database Abstraction Library,https://www.sqlalchemy.org
sse-starlette,3.0.2,Unknown,SSE plugin for Starlette,
starlette,0.48.0,BSD,The little ASGI library that shines.,
sympy,1.14.0,BSD,Computer algebra system (CAS) in Python,https://sympy.org
tabulate,0.9.0,MIT,Pretty-print tabular data,
tenacity,9.1.2,Apache-2.0,Retry code until it succeeds,https://github.com/jd/tenacity
tokenizers,0.22.1,Apache-2.0,,
torch,2.9.0,BSD-3-Clause,Tensors and Dynamic neural networks in Python with strong GPU acceleration,
torchvision,0.24.0,BSD,image and video datasets and models for torch deep learning,https://github.com/pytorch/vision
tqdm,4.67.1,MIT,"Fast, Extensible Progress Meter",
transformers,4.57.1,Apache 2.0 License,"State-of-the-art Machine Learning for JAX, PyTorch and TensorFlow",https://github.com/huggingface/transformers
triton,3.5.0,MIT,A language and compiler for custom Deep Learning operations,https://github.com/triton-lang/triton/
typer,0.19.2,MIT,"Typer, build great CLIs. Easy to code. Based on Python type hints.",
typing-inspection,0.4.2,Unknown,Runtime typing introspection tools,
typing_extensions,4.15.0,Unknown,Backported and Experimental Type Hints for Python 3.9+,
tzdata,2025.2,Apache-2.0,Provider of IANA time zone data,https://github.com/python/tzdata
urllib3,2.5.0,Unknown,"HTTP library with thread-safe connection pooling, file post, and more.",
uvicorn,0.38.0,Unknown,The lightning-fast ASGI server.,
uvloop,0.22.1,MIT,Fast implementation of asyncio event loop on top of libuv,
watchfiles,1.1.1,MIT,"Simple, modern and high performance file watching and code reload in python.",https://github.com/samuelcolvin/watchfiles
websockets,15.0.1,BSD-3-Clause,An implementation of the WebSocket Protocol (RFC 6455 & 7692),
wrapt,1.17.3,BSD,"Module for decorators, wrappers and monkey patching.",https://github.com/GrahamDumpleton/wrapt
xlsxwriter,3.2.9,BSD-2-Clause,A Python module for creating Excel XLSX files.,https://github.com/jmcnamara/XlsxWriter
yarl,1.22.0,Apache-2.0,Yet another URL library,https://github.com/aio-libs/yarl
